,Date,MinTemp,MaxTemp,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainTomorrow
1,2008-12-11,13.4,30.4,17.0,6.0,48.0,22.0,1011.8,1008.7,20.4,28.8,Yes
3,2008-12-17,14.1,20.9,11.0,9.0,69.0,82.0,1012.2,1010.4,17.2,18.1,Yes
4,2008-12-18,13.5,22.9,6.0,20.0,80.0,65.0,1005.8,1002.2,18.0,21.5,Yes
18,2009-01-22,24.4,34.0,26.0,48.0,60.0,39.0,1005.3,997.8,26.1,33.1,Yes
38,2009-03-12,20.9,25.7,11.0,9.0,52.0,90.0,1019.5,1018.9,22.2,18.8,Yes
41,2009-03-25,15.4,22.3,11.0,9.0,69.0,78.0,1017.4,1019.2,18.3,19.6,Yes
46,2009-04-10,11.6,26.7,6.0,11.0,59.0,42.0,1021.5,1017.7,16.4,24.3,Yes
50,2009-04-26,8.6,12.9,26.0,31.0,77.0,62.0,1004.0,1003.3,9.5,11.6,Yes
51,2009-04-27,4.5,11.5,9.0,13.0,82.0,79.0,1013.8,1013.5,7.6,9.4,Yes
61,2009-05-25,9.3,20.3,9.0,22.0,77.0,50.0,1024.6,1019.7,11.6,19.5,Yes
64,2009-06-03,10.6,14.3,6.0,9.0,85.0,97.0,1023.5,1020.4,12.4,13.0,Yes
67,2009-06-08,9.0,12.0,9.0,26.0,88.0,79.0,1009.6,1008.7,10.3,11.4,Yes
68,2009-06-09,6.3,8.8,13.0,13.0,92.0,95.0,1011.1,1008.3,6.8,7.9,Yes
70,2009-06-23,3.9,15.5,11.0,7.0,99.0,70.0,1020.2,1016.4,8.3,15.2,Yes
71,2009-06-25,4.7,12.2,2.0,13.0,99.0,75.0,1015.5,1012.7,6.9,11.6,Yes
72,2009-06-27,8.4,11.9,7.0,6.0,79.0,81.0,1007.8,1005.5,10.3,11.3,Yes
73,2009-06-29,8.2,15.7,9.0,15.0,91.0,69.0,1011.4,1009.4,10.1,15.6,Yes
74,2009-07-01,8.3,13.3,20.0,22.0,85.0,68.0,1006.5,1005.2,9.5,13.1,Yes
80,2009-07-28,4.2,12.7,11.0,11.0,89.0,71.0,1024.0,1023.1,8.8,12.0,Yes
85,2009-08-13,7.7,11.6,6.0,13.0,94.0,87.0,1015.7,1015.3,9.4,11.1,Yes
93,2009-09-23,9.3,16.8,26.0,30.0,82.0,54.0,997.8,1003.8,13.1,15.9,Yes
94,2009-09-25,5.3,20.6,22.0,13.0,60.0,57.0,1009.3,1002.9,15.2,17.3,Yes
97,2009-10-14,9.5,15.1,26.0,30.0,88.0,60.0,1000.5,1002.7,10.3,14.1,Yes
